epoch,window_len,best_case_bh_min,n_unsaturated_best_case,spike_anchored_bh_min,spike_anchored_bh_median,n_unsaturated_spike_anchored,n_candidates
1,4,0.3157353699207306,174,0.9989370703697205,0.9999650716781616,0,200
1,8,0.5481775999069214,25,0.9997245669364929,0.9999997615814209,0,200
1,12,0.6527187824249268,7,0.9998669028282166,1.0,0,200
1,16,0.7245981097221375,2,0.999969482421875,1.0,0,200
1,24,0.9924845695495605,0,0.9999986886978149,1.0,0,200
1,32,0.9995526671409607,0,0.9999997615814209,1.0,0,200
2,4,0.20189234614372253,169,0.9986975789070129,0.9999873042106628,0,200
2,8,0.2954931855201721,24,0.9995273947715759,0.9999999403953552,0,200
2,12,0.4730221927165985,8,0.9999003410339355,1.0,0,200
2,16,0.5871661901473999,3,0.9999670386314392,1.0,0,200
2,24,0.7150644063949585,1,0.9999969005584717,1.0,0,200
2,32,0.8561747670173645,1,0.9999998807907104,1.0,0,200
3,4,0.2112184762954712,136,0.9984673261642456,0.9999938011169434,0,200
3,8,0.3561306297779083,16,0.9999675750732422,1.0,0,200
3,12,0.43165525794029236,6,0.9999947547912598,1.0,0,200
3,16,0.5139984488487244,3,0.9999997615814209,1.0,0,200
3,24,0.6549932360649109,2,1.0,1.0,0,200
3,32,0.774909496307373,1,1.0,1.0,0,200
5,4,0.2500115633010864,78,0.9995378851890564,0.9999985694885254,0,200
5,8,0.3561446964740753,11,0.9999822974205017,1.0,0,200
5,12,0.4473509192466736,7,0.9999987483024597,1.0,0,200
5,16,0.8108468055725098,2,0.9999999403953552,1.0,0,200
5,24,0.9994443655014038,0,1.0,1.0,0,200
5,32,0.999987006187439,0,1.0,1.0,0,200
