local_position,original_position_in_candidate,token_id,token_str_decoded,token_str_raw,kl_t,pinsker_t,bh_t,min_t,is_corpus_match,matched_ngram_length
1,33,3033, features,Ġfeatures,4.094861030578613,1.4308844804763794,0.9916359782218933,0.9916359782218933,False,0
2,34,267, o,Ġo,3.6669487953186035,1.3540585041046143,0.9871401786804199,0.9871401786804199,False,0
3,35,13,.,.,1.8457342386245728,0.9606597423553467,0.9176549911499023,0.9176549911499023,False,0
4,36,1312, i,Ġi,2.0085718631744385,1.0021406412124634,0.9304943680763245,0.9304943680763245,False,0
5,37,366," ""","Ġ""",2.255713701248169,1.0620059967041016,0.9461507797241211,0.9461507797241211,False,0
6,38,1875, >,Ġ>,0.4487016499042511,0.47365686297416687,0.6012848019599915,0.47365686297416687,False,0
7,39,23191, delegate,Ġdelegate,3.7277235984802246,1.3652331829071045,0.9879030585289001,0.9879030585289001,False,0
8,40,23191, delegate,Ġdelegate,8.98193073272705,2.119189739227295,0.9999371767044067,0.9999371767044067,False,0
9,41,198,"
",Ċ,3.6701595783233643,1.3546512126922607,0.9871816635131836,0.9871816635131836,False,0
10,42,79,p,p,5.040365219116211,1.5875083208084106,0.9967590570449829,0.9967590570449829,False,0
11,43,3769, provides,Ġprovides,7.94211483001709,1.9839435386657715,0.9982488589286804,0.9982488589286804,True,0
12,44,4708, professional,Ġprofessional,11.115808486938477,2.3545396757125854,0.9999100833892822,0.9999100833892822,True,0
13,45,6491, customer,Ġcustomer,6.892465591430664,1.855074486732483,0.9967499680519104,0.9967499680519104,True,0
14,46,2139, service,Ġservice,0.8873054385185242,0.6660726070404053,0.7669655680656433,0.6660726070404053,False,0
15,47,351, with,Ġwith,1.0818740129470825,0.7354841828346252,0.8130438327789307,0.7354841828346252,False,0
16,48,6491, customer,Ġcustomer,1.801581859588623,0.9491000771522522,0.9137627482414246,0.9137627482414246,False,0
17,49,7538, feedback,Ġfeedback,2.146704912185669,1.036027193069458,0.9397507309913635,0.9397507309913635,False,0
18,50,13,.,.,1.4381661415100098,0.8479876518249512,0.8732911348342896,0.8479876518249512,False,0
19,51,289, h,Ġh,3.706047534942627,1.3612581491470337,0.9876363277435303,0.9876363277435303,False,0
20,52,20471,nn,nn,4.068126201629639,1.4199103498458862,0.9995740056037903,0.9995740056037903,False,0
21,53,198,"
",Ċ,3.170472621917725,1.2440346956253052,0.982247462272644,0.982247462272644,False,0
22,54,12,-,-,3.830517292022705,1.383928656578064,0.9890912771224976,0.9890912771224976,False,0
23,55,532, -,Ġ-,2.8900246620178223,1.2020866870880127,0.9718154072761536,0.9718154072761536,False,0
24,56,532, -,Ġ-,0.5286374688148499,0.5141193866729736,0.6407749056816101,0.5141193866729736,False,0
25,57,532, -,Ġ-,0.30159062147140503,0.38832372426986694,0.5102540850639343,0.38832372426986694,False,0
26,58,532, -,Ġ-,0.19310793280601501,0.31073135137557983,0.41905492544174194,0.31073135137557983,False,0
27,59,2656, original,Ġoriginal,11.780698776245117,2.427004098892212,0.9999961853027344,0.9999961853027344,True,11
28,60,3275, message,Ġmessage,6.681119441986084,1.827719807624817,0.9993726015090942,0.9993726015090942,True,12
29,61,532, -,Ġ-,4.6038299083709717,1.5152684259414673,0.981456995010376,0.981456995010376,True,13
30,62,532, -,Ġ-,0.6033484935760498,0.5492488145828247,0.6730697751045227,0.5492488145828247,False,0
31,63,532, -,Ġ-,0.24570144712924957,0.3505006730556488,0.4667379558086395,0.3505006730556488,False,0
32,64,532, -,Ġ-,0.1993308812379837,0.3156983256340027,0.4251132011413574,0.3156983256340027,False,0
